examId,name,type,classId,subjectId,maxMarks,passingMarks,examDate,academicYear,schoolId
EXM-0165,Grade 10-C HIST Pre-Final,unit_test,CLS-10C,SUB-HIST,100,35,2026-03-16,2025-26,SCH-001
EXM-0166,Grade 11-A MATH Pre-Final,unit_test,CLS-11A,SUB-MATH,100,35,2026-03-16,2025-26,SCH-001
EXM-0167,Grade 11-A PHY Pre-Final,unit_test,CLS-11A,SUB-PHY,100,35,2026-03-16,2025-26,SCH-001
EXM-0168,Grade 11-A CHEM Pre-Final,unit_test,CLS-11A,SUB-CHEM,100,35,2026-03-16,2025-26,SCH-001
EXM-0169,Grade 11-A ENG Pre-Final,unit_test,CLS-11A,SUB-ENG,100,35,2026-03-16,2025-26,SCH-001
EXM-0170,Grade 11-A HIST Pre-Final,unit_test,CLS-11A,SUB-HIST,100,35,2026-03-16,2025-26,SCH-001
EXM-0171,Grade 11-B MATH Pre-Final,unit_test,CLS-11B,SUB-MATH,100,35,2026-03-16,2025-26,SCH-001
EXM-0172,Grade 11-B PHY Pre-Final,unit_test,CLS-11B,SUB-PHY,100,35,2026-03-16,2025-26,SCH-001
EXM-0173,Grade 11-B CHEM Pre-Final,unit_test,CLS-11B,SUB-CHEM,100,35,2026-03-16,2025-26,SCH-001
EXM-0174,Grade 11-B ENG Pre-Final,unit_test,CLS-11B,SUB-ENG,100,35,2026-03-16,2025-26,SCH-001
EXM-0175,Grade 11-B HIST Pre-Final,unit_test,CLS-11B,SUB-HIST,100,35,2026-03-16,2025-26,SCH-001
EXM-0176,Grade 11-C MATH Pre-Final,unit_test,CLS-11C,SUB-MATH,100,35,2026-03-16,2025-26,SCH-001
EXM-0177,Grade 11-C PHY Pre-Final,unit_test,CLS-11C,SUB-PHY,100,35,2026-03-16,2025-26,SCH-001
EXM-0178,Grade 11-C CHEM Pre-Final,unit_test,CLS-11C,SUB-CHEM,100,35,2026-03-16,2025-26,SCH-001
EXM-0179,Grade 11-C ENG Pre-Final,unit_test,CLS-11C,SUB-ENG,100,35,2026-03-16,2025-26,SCH-001
EXM-0180,Grade 11-C HIST Pre-Final,unit_test,CLS-11C,SUB-HIST,100,35,2026-03-16,2025-26,SCH-001
EXM-0181,Grade 9-A MATH Final Exam,final,CLS-9A,SUB-MATH,100,35,2026-04-20,2025-26,SCH-001
EXM-0182,Grade 9-A PHY Final Exam,final,CLS-9A,SUB-PHY,100,35,2026-04-20,2025-26,SCH-001
EXM-0183,Grade 9-A CHEM Final Exam,final,CLS-9A,SUB-CHEM,100,35,2026-04-20,2025-26,SCH-001
EXM-0184,Grade 9-A ENG Final Exam,final,CLS-9A,SUB-ENG,100,35,2026-04-20,2025-26,SCH-001
EXM-0185,Grade 9-A HIST Final Exam,final,CLS-9A,SUB-HIST,100,35,2026-04-20,2025-26,SCH-001
EXM-0186,Grade 9-B MATH Final Exam,final,CLS-9B,SUB-MATH,100,35,2026-04-20,2025-26,SCH-001
EXM-0187,Grade 9-B PHY Final Exam,final,CLS-9B,SUB-PHY,100,35,2026-04-20,2025-26,SCH-001
EXM-0188,Grade 9-B CHEM Final Exam,final,CLS-9B,SUB-CHEM,100,35,2026-04-20,2025-26,SCH-001
EXM-0189,Grade 9-B ENG Final Exam,final,CLS-9B,SUB-ENG,100,35,2026-04-20,2025-26,SCH-001
EXM-0190,Grade 9-B HIST Final Exam,final,CLS-9B,SUB-HIST,100,35,2026-04-20,2025-26,SCH-001
EXM-0191,Grade 9-C MATH Final Exam,final,CLS-9C,SUB-MATH,100,35,2026-04-20,2025-26,SCH-001
EXM-0192,Grade 9-C PHY Final Exam,final,CLS-9C,SUB-PHY,100,35,2026-04-20,2025-26,SCH-001
EXM-0193,Grade 9-C CHEM Final Exam,final,CLS-9C,SUB-CHEM,100,35,2026-04-20,2025-26,SCH-001
EXM-0194,Grade 9-C ENG Final Exam,final,CLS-9C,SUB-ENG,100,35,2026-04-20,2025-26,SCH-001
EXM-0195,Grade 9-C HIST Final Exam,final,CLS-9C,SUB-HIST,100,35,2026-04-20,2025-26,SCH-001
EXM-0196,Grade 10-A MATH Final Exam,final,CLS-10A,SUB-MATH,100,35,2026-04-20,2025-26,SCH-001
EXM-0197,Grade 10-A PHY Final Exam,final,CLS-10A,SUB-PHY,100,35,2026-04-20,2025-26,SCH-001
EXM-0198,Grade 10-A CHEM Final Exam,final,CLS-10A,SUB-CHEM,100,35,2026-04-20,2025-26,SCH-001
EXM-0199,Grade 10-A ENG Final Exam,final,CLS-10A,SUB-ENG,100,35,2026-04-20,2025-26,SCH-001
EXM-0200,Grade 10-A HIST Final Exam,final,CLS-10A,SUB-HIST,100,35,2026-04-20,2025-26,SCH-001
EXM-0201,Grade 10-B MATH Final Exam,final,CLS-10B,SUB-MATH,100,35,2026-04-20,2025-26,SCH-001
EXM-0202,Grade 10-B PHY Final Exam,final,CLS-10B,SUB-PHY,100,35,2026-04-20,2025-26,SCH-001
EXM-0203,Grade 10-B CHEM Final Exam,final,CLS-10B,SUB-CHEM,100,35,2026-04-20,2025-26,SCH-001
EXM-0204,Grade 10-B ENG Final Exam,final,CLS-10B,SUB-ENG,100,35,2026-04-20,2025-26,SCH-001
EXM-0205,Grade 10-B HIST Final Exam,final,CLS-10B,SUB-HIST,100,35,2026-04-20,2025-26,SCH-001
EXM-0206,Grade 10-C MATH Final Exam,final,CLS-10C,SUB-MATH,100,35,2026-04-20,2025-26,SCH-001
EXM-0207,Grade 10-C PHY Final Exam,final,CLS-10C,SUB-PHY,100,35,2026-04-20,2025-26,SCH-001
EXM-0208,Grade 10-C CHEM Final Exam,final,CLS-10C,SUB-CHEM,100,35,2026-04-20,2025-26,SCH-001
EXM-0209,Grade 10-C ENG Final Exam,final,CLS-10C,SUB-ENG,100,35,2026-04-20,2025-26,SCH-001
EXM-0210,Grade 10-C HIST Final Exam,final,CLS-10C,SUB-HIST,100,35,2026-04-20,2025-26,SCH-001
