assignmentId,classId,subjectId,teacherId,title,dueDate,maxMarks,schoolId
ASG-0040,CLS-9A,SUB-CHEM,TCH-003,Chemistry Assignment #10,2026-01-21,20,SCH-001
ASG-0041,CLS-9A,SUB-CHEM,TCH-003,Chemistry Assignment #11,2026-02-06,20,SCH-001
ASG-0042,CLS-9A,SUB-CHEM,TCH-003,Chemistry Assignment #12,2026-02-23,20,SCH-001
ASG-0043,CLS-9A,SUB-CHEM,TCH-003,Chemistry Assignment #13,2026-03-11,20,SCH-001
ASG-0044,CLS-9A,SUB-CHEM,TCH-003,Chemistry Assignment #14,2026-03-26,20,SCH-001
ASG-0045,CLS-9A,SUB-CHEM,TCH-003,Chemistry Assignment #15,2026-04-13,20,SCH-001
ASG-0046,CLS-9A,SUB-ENG,TCH-004,English Assignment #1,2025-09-01,20,SCH-001
ASG-0047,CLS-9A,SUB-ENG,TCH-004,English Assignment #2,2025-09-16,20,SCH-001
ASG-0048,CLS-9A,SUB-ENG,TCH-004,English Assignment #3,2025-10-01,20,SCH-001
ASG-0049,CLS-9A,SUB-ENG,TCH-004,English Assignment #4,2025-10-17,20,SCH-001
ASG-0050,CLS-9A,SUB-ENG,TCH-004,English Assignment #5,2025-11-03,20,SCH-001
ASG-0051,CLS-9A,SUB-ENG,TCH-004,English Assignment #6,2025-11-19,20,SCH-001
ASG-0052,CLS-9A,SUB-ENG,TCH-004,English Assignment #7,2025-12-04,20,SCH-001
ASG-0053,CLS-9A,SUB-ENG,TCH-004,English Assignment #8,2025-12-22,20,SCH-001
ASG-0054,CLS-9A,SUB-ENG,TCH-004,English Assignment #9,2026-01-06,20,SCH-001
ASG-0055,CLS-9A,SUB-ENG,TCH-004,English Assignment #10,2026-01-21,20,SCH-001
ASG-0056,CLS-9A,SUB-ENG,TCH-004,English Assignment #11,2026-02-06,20,SCH-001
ASG-0057,CLS-9A,SUB-ENG,TCH-004,English Assignment #12,2026-02-23,20,SCH-001
ASG-0058,CLS-9A,SUB-ENG,TCH-004,English Assignment #13,2026-03-11,20,SCH-001
ASG-0059,CLS-9A,SUB-ENG,TCH-004,English Assignment #14,2026-03-26,20,SCH-001
ASG-0060,CLS-9A,SUB-ENG,TCH-004,English Assignment #15,2026-04-13,20,SCH-001
ASG-0061,CLS-9A,SUB-HIST,TCH-005,History Assignment #1,2025-09-01,20,SCH-001
ASG-0062,CLS-9A,SUB-HIST,TCH-005,History Assignment #2,2025-09-16,20,SCH-001
ASG-0063,CLS-9A,SUB-HIST,TCH-005,History Assignment #3,2025-10-01,20,SCH-001
ASG-0064,CLS-9A,SUB-HIST,TCH-005,History Assignment #4,2025-10-17,20,SCH-001
ASG-0065,CLS-9A,SUB-HIST,TCH-005,History Assignment #5,2025-11-03,20,SCH-001
ASG-0066,CLS-9A,SUB-HIST,TCH-005,History Assignment #6,2025-11-19,20,SCH-001
ASG-0067,CLS-9A,SUB-HIST,TCH-005,History Assignment #7,2025-12-04,20,SCH-001
ASG-0068,CLS-9A,SUB-HIST,TCH-005,History Assignment #8,2025-12-22,20,SCH-001
ASG-0069,CLS-9A,SUB-HIST,TCH-005,History Assignment #9,2026-01-06,20,SCH-001
ASG-0070,CLS-9A,SUB-HIST,TCH-005,History Assignment #10,2026-01-21,20,SCH-001
ASG-0071,CLS-9A,SUB-HIST,TCH-005,History Assignment #11,2026-02-06,20,SCH-001
ASG-0072,CLS-9A,SUB-HIST,TCH-005,History Assignment #12,2026-02-23,20,SCH-001
ASG-0073,CLS-9A,SUB-HIST,TCH-005,History Assignment #13,2026-03-11,20,SCH-001
ASG-0074,CLS-9A,SUB-HIST,TCH-005,History Assignment #14,2026-03-26,20,SCH-001
ASG-0075,CLS-9A,SUB-HIST,TCH-005,History Assignment #15,2026-04-13,20,SCH-001
ASG-0076,CLS-9B,SUB-MATH,TCH-001,Mathematics Assignment #1,2025-09-01,20,SCH-001
ASG-0077,CLS-9B,SUB-MATH,TCH-001,Mathematics Assignment #2,2025-09-16,20,SCH-001
ASG-0078,CLS-9B,SUB-MATH,TCH-001,Mathematics Assignment #3,2025-10-01,20,SCH-001
ASG-0079,CLS-9B,SUB-MATH,TCH-001,Mathematics Assignment #4,2025-10-17,20,SCH-001
ASG-0080,CLS-9B,SUB-MATH,TCH-001,Mathematics Assignment #5,2025-11-03,20,SCH-001
ASG-0081,CLS-9B,SUB-MATH,TCH-001,Mathematics Assignment #6,2025-11-19,20,SCH-001
ASG-0082,CLS-9B,SUB-MATH,TCH-001,Mathematics Assignment #7,2025-12-04,20,SCH-001
ASG-0083,CLS-9B,SUB-MATH,TCH-001,Mathematics Assignment #8,2025-12-22,20,SCH-001
ASG-0084,CLS-9B,SUB-MATH,TCH-001,Mathematics Assignment #9,2026-01-06,20,SCH-001
ASG-0085,CLS-9B,SUB-MATH,TCH-001,Mathematics Assignment #10,2026-01-21,20,SCH-001
ASG-0086,CLS-9B,SUB-MATH,TCH-001,Mathematics Assignment #11,2026-02-06,20,SCH-001
ASG-0087,CLS-9B,SUB-MATH,TCH-001,Mathematics Assignment #12,2026-02-23,20,SCH-001
ASG-0088,CLS-9B,SUB-MATH,TCH-001,Mathematics Assignment #13,2026-03-11,20,SCH-001
ASG-0089,CLS-9B,SUB-MATH,TCH-001,Mathematics Assignment #14,2026-03-26,20,SCH-001
ASG-0090,CLS-9B,SUB-MATH,TCH-001,Mathematics Assignment #15,2026-04-13,20,SCH-001
ASG-0091,CLS-9B,SUB-PHY,TCH-002,Physics Assignment #1,2025-09-01,20,SCH-001
ASG-0092,CLS-9B,SUB-PHY,TCH-002,Physics Assignment #2,2025-09-16,20,SCH-001
ASG-0093,CLS-9B,SUB-PHY,TCH-002,Physics Assignment #3,2025-10-01,20,SCH-001
ASG-0094,CLS-9B,SUB-PHY,TCH-002,Physics Assignment #4,2025-10-17,20,SCH-001
ASG-0095,CLS-9B,SUB-PHY,TCH-002,Physics Assignment #5,2025-11-03,20,SCH-001
ASG-0096,CLS-9B,SUB-PHY,TCH-002,Physics Assignment #6,2025-11-19,20,SCH-001
ASG-0097,CLS-9B,SUB-PHY,TCH-002,Physics Assignment #7,2025-12-04,20,SCH-001
ASG-0098,CLS-9B,SUB-PHY,TCH-002,Physics Assignment #8,2025-12-22,20,SCH-001
ASG-0099,CLS-9B,SUB-PHY,TCH-002,Physics Assignment #9,2026-01-06,20,SCH-001
ASG-0100,CLS-9B,SUB-PHY,TCH-002,Physics Assignment #10,2026-01-21,20,SCH-001
ASG-0101,CLS-9B,SUB-PHY,TCH-002,Physics Assignment #11,2026-02-06,20,SCH-001
ASG-0102,CLS-9B,SUB-PHY,TCH-002,Physics Assignment #12,2026-02-23,20,SCH-001
ASG-0103,CLS-9B,SUB-PHY,TCH-002,Physics Assignment #13,2026-03-11,20,SCH-001
ASG-0104,CLS-9B,SUB-PHY,TCH-002,Physics Assignment #14,2026-03-26,20,SCH-001
ASG-0105,CLS-9B,SUB-PHY,TCH-002,Physics Assignment #15,2026-04-13,20,SCH-001
ASG-0106,CLS-9B,SUB-CHEM,TCH-003,Chemistry Assignment #1,2025-09-01,20,SCH-001
ASG-0107,CLS-9B,SUB-CHEM,TCH-003,Chemistry Assignment #2,2025-09-16,20,SCH-001
ASG-0108,CLS-9B,SUB-CHEM,TCH-003,Chemistry Assignment #3,2025-10-01,20,SCH-001
ASG-0109,CLS-9B,SUB-CHEM,TCH-003,Chemistry Assignment #4,2025-10-17,20,SCH-001
ASG-0110,CLS-9B,SUB-CHEM,TCH-003,Chemistry Assignment #5,2025-11-03,20,SCH-001
ASG-0111,CLS-9B,SUB-CHEM,TCH-003,Chemistry Assignment #6,2025-11-19,20,SCH-001
ASG-0112,CLS-9B,SUB-CHEM,TCH-003,Chemistry Assignment #7,2025-12-04,20,SCH-001
ASG-0113,CLS-9B,SUB-CHEM,TCH-003,Chemistry Assignment #8,2025-12-22,20,SCH-001
ASG-0114,CLS-9B,SUB-CHEM,TCH-003,Chemistry Assignment #9,2026-01-06,20,SCH-001
ASG-0115,CLS-9B,SUB-CHEM,TCH-003,Chemistry Assignment #10,2026-01-21,20,SCH-001
ASG-0116,CLS-9B,SUB-CHEM,TCH-003,Chemistry Assignment #11,2026-02-06,20,SCH-001
ASG-0117,CLS-9B,SUB-CHEM,TCH-003,Chemistry Assignment #12,2026-02-23,20,SCH-001
ASG-0118,CLS-9B,SUB-CHEM,TCH-003,Chemistry Assignment #13,2026-03-11,20,SCH-001
ASG-0119,CLS-9B,SUB-CHEM,TCH-003,Chemistry Assignment #14,2026-03-26,20,SCH-001
ASG-0120,CLS-9B,SUB-CHEM,TCH-003,Chemistry Assignment #15,2026-04-13,20,SCH-001
ASG-0121,CLS-9B,SUB-ENG,TCH-004,English Assignment #1,2025-09-01,20,SCH-001
ASG-0122,CLS-9B,SUB-ENG,TCH-004,English Assignment #2,2025-09-16,20,SCH-001
ASG-0123,CLS-9B,SUB-ENG,TCH-004,English Assignment #3,2025-10-01,20,SCH-001
ASG-0124,CLS-9B,SUB-ENG,TCH-004,English Assignment #4,2025-10-17,20,SCH-001
ASG-0125,CLS-9B,SUB-ENG,TCH-004,English Assignment #5,2025-11-03,20,SCH-001
ASG-0126,CLS-9B,SUB-ENG,TCH-004,English Assignment #6,2025-11-19,20,SCH-001
ASG-0127,CLS-9B,SUB-ENG,TCH-004,English Assignment #7,2025-12-04,20,SCH-001
ASG-0128,CLS-9B,SUB-ENG,TCH-004,English Assignment #8,2025-12-22,20,SCH-001
ASG-0129,CLS-9B,SUB-ENG,TCH-004,English Assignment #9,2026-01-06,20,SCH-001
ASG-0130,CLS-9B,SUB-ENG,TCH-004,English Assignment #10,2026-01-21,20,SCH-001
ASG-0131,CLS-9B,SUB-ENG,TCH-004,English Assignment #11,2026-02-06,20,SCH-001
ASG-0132,CLS-9B,SUB-ENG,TCH-004,English Assignment #12,2026-02-23,20,SCH-001
ASG-0133,CLS-9B,SUB-ENG,TCH-004,English Assignment #13,2026-03-11,20,SCH-001
ASG-0134,CLS-9B,SUB-ENG,TCH-004,English Assignment #14,2026-03-26,20,SCH-001
ASG-0135,CLS-9B,SUB-ENG,TCH-004,English Assignment #15,2026-04-13,20,SCH-001
ASG-0136,CLS-9B,SUB-HIST,TCH-005,History Assignment #1,2025-09-01,20,SCH-001
ASG-0137,CLS-9B,SUB-HIST,TCH-005,History Assignment #2,2025-09-16,20,SCH-001
ASG-0138,CLS-9B,SUB-HIST,TCH-005,History Assignment #3,2025-10-01,20,SCH-001
ASG-0139,CLS-9B,SUB-HIST,TCH-005,History Assignment #4,2025-10-17,20,SCH-001
ASG-0140,CLS-9B,SUB-HIST,TCH-005,History Assignment #5,2025-11-03,20,SCH-001
ASG-0141,CLS-9B,SUB-HIST,TCH-005,History Assignment #6,2025-11-19,20,SCH-001
ASG-0142,CLS-9B,SUB-HIST,TCH-005,History Assignment #7,2025-12-04,20,SCH-001
ASG-0143,CLS-9B,SUB-HIST,TCH-005,History Assignment #8,2025-12-22,20,SCH-001
ASG-0144,CLS-9B,SUB-HIST,TCH-005,History Assignment #9,2026-01-06,20,SCH-001
ASG-0145,CLS-9B,SUB-HIST,TCH-005,History Assignment #10,2026-01-21,20,SCH-001
ASG-0146,CLS-9B,SUB-HIST,TCH-005,History Assignment #11,2026-02-06,20,SCH-001
ASG-0147,CLS-9B,SUB-HIST,TCH-005,History Assignment #12,2026-02-23,20,SCH-001
ASG-0148,CLS-9B,SUB-HIST,TCH-005,History Assignment #13,2026-03-11,20,SCH-001
ASG-0149,CLS-9B,SUB-HIST,TCH-005,History Assignment #14,2026-03-26,20,SCH-001
ASG-0150,CLS-9B,SUB-HIST,TCH-005,History Assignment #15,2026-04-13,20,SCH-001
ASG-0151,CLS-9C,SUB-MATH,TCH-001,Mathematics Assignment #1,2025-09-01,20,SCH-001
ASG-0152,CLS-9C,SUB-MATH,TCH-001,Mathematics Assignment #2,2025-09-16,20,SCH-001
ASG-0153,CLS-9C,SUB-MATH,TCH-001,Mathematics Assignment #3,2025-10-01,20,SCH-001
ASG-0154,CLS-9C,SUB-MATH,TCH-001,Mathematics Assignment #4,2025-10-17,20,SCH-001
ASG-0155,CLS-9C,SUB-MATH,TCH-001,Mathematics Assignment #5,2025-11-03,20,SCH-001
ASG-0156,CLS-9C,SUB-MATH,TCH-001,Mathematics Assignment #6,2025-11-19,20,SCH-001
ASG-0157,CLS-9C,SUB-MATH,TCH-001,Mathematics Assignment #7,2025-12-04,20,SCH-001
ASG-0158,CLS-9C,SUB-MATH,TCH-001,Mathematics Assignment #8,2025-12-22,20,SCH-001
ASG-0159,CLS-9C,SUB-MATH,TCH-001,Mathematics Assignment #9,2026-01-06,20,SCH-001
ASG-0160,CLS-9C,SUB-MATH,TCH-001,Mathematics Assignment #10,2026-01-21,20,SCH-001
ASG-0161,CLS-9C,SUB-MATH,TCH-001,Mathematics Assignment #11,2026-02-06,20,SCH-001
ASG-0162,CLS-9C,SUB-MATH,TCH-001,Mathematics Assignment #12,2026-02-23,20,SCH-001
ASG-0163,CLS-9C,SUB-MATH,TCH-001,Mathematics Assignment #13,2026-03-11,20,SCH-001
ASG-0164,CLS-9C,SUB-MATH,TCH-001,Mathematics Assignment #14,2026-03-26,20,SCH-001
ASG-0165,CLS-9C,SUB-MATH,TCH-001,Mathematics Assignment #15,2026-04-13,20,SCH-001
ASG-0166,CLS-9C,SUB-PHY,TCH-002,Physics Assignment #1,2025-09-01,20,SCH-001
ASG-0167,CLS-9C,SUB-PHY,TCH-002,Physics Assignment #2,2025-09-16,20,SCH-001
ASG-0168,CLS-9C,SUB-PHY,TCH-002,Physics Assignment #3,2025-10-01,20,SCH-001
ASG-0169,CLS-9C,SUB-PHY,TCH-002,Physics Assignment #4,2025-10-17,20,SCH-001
ASG-0170,CLS-9C,SUB-PHY,TCH-002,Physics Assignment #5,2025-11-03,20,SCH-001
ASG-0171,CLS-9C,SUB-PHY,TCH-002,Physics Assignment #6,2025-11-19,20,SCH-001
ASG-0172,CLS-9C,SUB-PHY,TCH-002,Physics Assignment #7,2025-12-04,20,SCH-001
ASG-0173,CLS-9C,SUB-PHY,TCH-002,Physics Assignment #8,2025-12-22,20,SCH-001
ASG-0174,CLS-9C,SUB-PHY,TCH-002,Physics Assignment #9,2026-01-06,20,SCH-001
ASG-0175,CLS-9C,SUB-PHY,TCH-002,Physics Assignment #10,2026-01-21,20,SCH-001
ASG-0176,CLS-9C,SUB-PHY,TCH-002,Physics Assignment #11,2026-02-06,20,SCH-001
ASG-0177,CLS-9C,SUB-PHY,TCH-002,Physics Assignment #12,2026-02-23,20,SCH-001
ASG-0178,CLS-9C,SUB-PHY,TCH-002,Physics Assignment #13,2026-03-11,20,SCH-001
ASG-0179,CLS-9C,SUB-PHY,TCH-002,Physics Assignment #14,2026-03-26,20,SCH-001
ASG-0180,CLS-9C,SUB-PHY,TCH-002,Physics Assignment #15,2026-04-13,20,SCH-001
ASG-0181,CLS-9C,SUB-CHEM,TCH-003,Chemistry Assignment #1,2025-09-01,20,SCH-001
ASG-0182,CLS-9C,SUB-CHEM,TCH-003,Chemistry Assignment #2,2025-09-16,20,SCH-001
ASG-0183,CLS-9C,SUB-CHEM,TCH-003,Chemistry Assignment #3,2025-10-01,20,SCH-001
ASG-0184,CLS-9C,SUB-CHEM,TCH-003,Chemistry Assignment #4,2025-10-17,20,SCH-001
ASG-0185,CLS-9C,SUB-CHEM,TCH-003,Chemistry Assignment #5,2025-11-03,20,SCH-001
ASG-0186,CLS-9C,SUB-CHEM,TCH-003,Chemistry Assignment #6,2025-11-19,20,SCH-001
ASG-0187,CLS-9C,SUB-CHEM,TCH-003,Chemistry Assignment #7,2025-12-04,20,SCH-001
ASG-0188,CLS-9C,SUB-CHEM,TCH-003,Chemistry Assignment #8,2025-12-22,20,SCH-001
ASG-0189,CLS-9C,SUB-CHEM,TCH-003,Chemistry Assignment #9,2026-01-06,20,SCH-001
ASG-0190,CLS-9C,SUB-CHEM,TCH-003,Chemistry Assignment #10,2026-01-21,20,SCH-001
ASG-0191,CLS-9C,SUB-CHEM,TCH-003,Chemistry Assignment #11,2026-02-06,20,SCH-001
ASG-0192,CLS-9C,SUB-CHEM,TCH-003,Chemistry Assignment #12,2026-02-23,20,SCH-001
ASG-0193,CLS-9C,SUB-CHEM,TCH-003,Chemistry Assignment #13,2026-03-11,20,SCH-001
ASG-0194,CLS-9C,SUB-CHEM,TCH-003,Chemistry Assignment #14,2026-03-26,20,SCH-001
ASG-0195,CLS-9C,SUB-CHEM,TCH-003,Chemistry Assignment #15,2026-04-13,20,SCH-001
ASG-0196,CLS-9C,SUB-ENG,TCH-004,English Assignment #1,2025-09-01,20,SCH-001
ASG-0197,CLS-9C,SUB-ENG,TCH-004,English Assignment #2,2025-09-16,20,SCH-001
ASG-0198,CLS-9C,SUB-ENG,TCH-004,English Assignment #3,2025-10-01,20,SCH-001
ASG-0199,CLS-9C,SUB-ENG,TCH-004,English Assignment #4,2025-10-17,20,SCH-001
ASG-0200,CLS-9C,SUB-ENG,TCH-004,English Assignment #5,2025-11-03,20,SCH-001
ASG-0201,CLS-9C,SUB-ENG,TCH-004,English Assignment #6,2025-11-19,20,SCH-001
ASG-0202,CLS-9C,SUB-ENG,TCH-004,English Assignment #7,2025-12-04,20,SCH-001
ASG-0203,CLS-9C,SUB-ENG,TCH-004,English Assignment #8,2025-12-22,20,SCH-001
ASG-0204,CLS-9C,SUB-ENG,TCH-004,English Assignment #9,2026-01-06,20,SCH-001
ASG-0205,CLS-9C,SUB-ENG,TCH-004,English Assignment #10,2026-01-21,20,SCH-001
ASG-0206,CLS-9C,SUB-ENG,TCH-004,English Assignment #11,2026-02-06,20,SCH-001
ASG-0207,CLS-9C,SUB-ENG,TCH-004,English Assignment #12,2026-02-23,20,SCH-001
ASG-0208,CLS-9C,SUB-ENG,TCH-004,English Assignment #13,2026-03-11,20,SCH-001
ASG-0209,CLS-9C,SUB-ENG,TCH-004,English Assignment #14,2026-03-26,20,SCH-001
ASG-0210,CLS-9C,SUB-ENG,TCH-004,English Assignment #15,2026-04-13,20,SCH-001
ASG-0211,CLS-9C,SUB-HIST,TCH-005,History Assignment #1,2025-09-01,20,SCH-001
ASG-0212,CLS-9C,SUB-HIST,TCH-005,History Assignment #2,2025-09-16,20,SCH-001
ASG-0213,CLS-9C,SUB-HIST,TCH-005,History Assignment #3,2025-10-01,20,SCH-001
ASG-0214,CLS-9C,SUB-HIST,TCH-005,History Assignment #4,2025-10-17,20,SCH-001
ASG-0215,CLS-9C,SUB-HIST,TCH-005,History Assignment #5,2025-11-03,20,SCH-001
ASG-0216,CLS-9C,SUB-HIST,TCH-005,History Assignment #6,2025-11-19,20,SCH-001
ASG-0217,CLS-9C,SUB-HIST,TCH-005,History Assignment #7,2025-12-04,20,SCH-001
ASG-0218,CLS-9C,SUB-HIST,TCH-005,History Assignment #8,2025-12-22,20,SCH-001
ASG-0219,CLS-9C,SUB-HIST,TCH-005,History Assignment #9,2026-01-06,20,SCH-001
ASG-0220,CLS-9C,SUB-HIST,TCH-005,History Assignment #10,2026-01-21,20,SCH-001
ASG-0221,CLS-9C,SUB-HIST,TCH-005,History Assignment #11,2026-02-06,20,SCH-001
ASG-0222,CLS-9C,SUB-HIST,TCH-005,History Assignment #12,2026-02-23,20,SCH-001
ASG-0223,CLS-9C,SUB-HIST,TCH-005,History Assignment #13,2026-03-11,20,SCH-001
ASG-0224,CLS-9C,SUB-HIST,TCH-005,History Assignment #14,2026-03-26,20,SCH-001
ASG-0225,CLS-9C,SUB-HIST,TCH-005,History Assignment #15,2026-04-13,20,SCH-001
ASG-0226,CLS-10A,SUB-MATH,TCH-001,Mathematics Assignment #1,2025-09-01,20,SCH-001
ASG-0227,CLS-10A,SUB-MATH,TCH-001,Mathematics Assignment #2,2025-09-16,20,SCH-001
ASG-0228,CLS-10A,SUB-MATH,TCH-001,Mathematics Assignment #3,2025-10-01,20,SCH-001
ASG-0229,CLS-10A,SUB-MATH,TCH-001,Mathematics Assignment #4,2025-10-17,20,SCH-001
ASG-0230,CLS-10A,SUB-MATH,TCH-001,Mathematics Assignment #5,2025-11-03,20,SCH-001
ASG-0231,CLS-10A,SUB-MATH,TCH-001,Mathematics Assignment #6,2025-11-19,20,SCH-001
ASG-0232,CLS-10A,SUB-MATH,TCH-001,Mathematics Assignment #7,2025-12-04,20,SCH-001
ASG-0233,CLS-10A,SUB-MATH,TCH-001,Mathematics Assignment #8,2025-12-22,20,SCH-001
ASG-0234,CLS-10A,SUB-MATH,TCH-001,Mathematics Assignment #9,2026-01-06,20,SCH-001
ASG-0235,CLS-10A,SUB-MATH,TCH-001,Mathematics Assignment #10,2026-01-21,20,SCH-001
ASG-0236,CLS-10A,SUB-MATH,TCH-001,Mathematics Assignment #11,2026-02-06,20,SCH-001
ASG-0237,CLS-10A,SUB-MATH,TCH-001,Mathematics Assignment #12,2026-02-23,20,SCH-001
ASG-0238,CLS-10A,SUB-MATH,TCH-001,Mathematics Assignment #13,2026-03-11,20,SCH-001
ASG-0239,CLS-10A,SUB-MATH,TCH-001,Mathematics Assignment #14,2026-03-26,20,SCH-001
ASG-0240,CLS-10A,SUB-MATH,TCH-001,Mathematics Assignment #15,2026-04-13,20,SCH-001
ASG-0241,CLS-10A,SUB-PHY,TCH-002,Physics Assignment #1,2025-09-01,20,SCH-001
ASG-0242,CLS-10A,SUB-PHY,TCH-002,Physics Assignment #2,2025-09-16,20,SCH-001
ASG-0243,CLS-10A,SUB-PHY,TCH-002,Physics Assignment #3,2025-10-01,20,SCH-001
ASG-0244,CLS-10A,SUB-PHY,TCH-002,Physics Assignment #4,2025-10-17,20,SCH-001
ASG-0245,CLS-10A,SUB-PHY,TCH-002,Physics Assignment #5,2025-11-03,20,SCH-001
ASG-0246,CLS-10A,SUB-PHY,TCH-002,Physics Assignment #6,2025-11-19,20,SCH-001
ASG-0247,CLS-10A,SUB-PHY,TCH-002,Physics Assignment #7,2025-12-04,20,SCH-001
ASG-0248,CLS-10A,SUB-PHY,TCH-002,Physics Assignment #8,2025-12-22,20,SCH-001
ASG-0249,CLS-10A,SUB-PHY,TCH-002,Physics Assignment #9,2026-01-06,20,SCH-001
ASG-0250,CLS-10A,SUB-PHY,TCH-002,Physics Assignment #10,2026-01-21,20,SCH-001
ASG-0251,CLS-10A,SUB-PHY,TCH-002,Physics Assignment #11,2026-02-06,20,SCH-001
ASG-0252,CLS-10A,SUB-PHY,TCH-002,Physics Assignment #12,2026-02-23,20,SCH-001
ASG-0253,CLS-10A,SUB-PHY,TCH-002,Physics Assignment #13,2026-03-11,20,SCH-001
ASG-0254,CLS-10A,SUB-PHY,TCH-002,Physics Assignment #14,2026-03-26,20,SCH-001
ASG-0255,CLS-10A,SUB-PHY,TCH-002,Physics Assignment #15,2026-04-13,20,SCH-001
ASG-0256,CLS-10A,SUB-CHEM,TCH-003,Chemistry Assignment #1,2025-09-01,20,SCH-001
ASG-0257,CLS-10A,SUB-CHEM,TCH-003,Chemistry Assignment #2,2025-09-16,20,SCH-001
ASG-0258,CLS-10A,SUB-CHEM,TCH-003,Chemistry Assignment #3,2025-10-01,20,SCH-001
ASG-0259,CLS-10A,SUB-CHEM,TCH-003,Chemistry Assignment #4,2025-10-17,20,SCH-001
ASG-0260,CLS-10A,SUB-CHEM,TCH-003,Chemistry Assignment #5,2025-11-03,20,SCH-001
ASG-0261,CLS-10A,SUB-CHEM,TCH-003,Chemistry Assignment #6,2025-11-19,20,SCH-001
