studentId,subjectId,grade_level,attendance_rate_30d,attendance_rate_90d,homework_completion_rate,avg_score_current_term,avg_score_prev_term,score_trend,engagement_score,behavior_concerns_count,predictedScore,predictedGradeBand
STU-2026-0034,SUB-MATH,9,0.8876,0.8826,0.9212,80.12,87.48,0.067,88.78,0,77.23,B
STU-2026-0035,SUB-MATH,9,0.9363,0.939,0.9018,88.28,93.95,-0.023,90.17,0,81.53,A
STU-2026-0036,SUB-MATH,9,0.9594,0.9665,0.9094,94.12,93.42,-0.0475,91.72,0,90.73,A
STU-2026-0037,SUB-MATH,9,0.8006,0.7642,0.8072,75.88,78.81,0.0516,60.13,0,70.79,B
STU-2026-0038,SUB-MATH,9,0.9876,0.969,0.8871,83.95,87.1,-0.0659,77.23,0,73.27,B
STU-2026-0039,SUB-MATH,9,0.8981,0.8856,0.8745,62.35,64.47,-0.0254,55.95,2,58.32,D
STU-2026-0040,SUB-MATH,9,0.7616,0.7601,0.4988,59.15,68.02,-0.7206,28.53,2,50.46,D
STU-2026-0041,SUB-MATH,9,0.914,0.9636,0.8466,86.72,78.56,-0.0205,80.57,0,81.62,A
STU-2026-0042,SUB-MATH,9,0.9706,0.9672,0.9312,80.48,76.68,0.0355,92.24,1,73.83,B
STU-2026-0043,SUB-MATH,9,0.944,0.9317,0.8674,75.6,76.77,0.0824,81.19,1,71.95,B
STU-2026-0044,SUB-MATH,9,0.7367,0.7714,0.7114,44.98,45.31,-0.411,38.09,2,41.68,F
STU-2026-0045,SUB-MATH,9,0.8948,0.9224,0.748,68.09,68.75,-0.0319,68.95,1,65.64,C
STU-2026-0046,SUB-MATH,9,0.9499,0.9332,0.9015,79.17,79.32,0.011,68.34,0,75.82,B
STU-2026-0047,SUB-MATH,9,0.9976,0.9438,0.8489,82.94,81.19,-0.0395,90.15,0,76.09,B
STU-2026-0048,SUB-MATH,9,0.9799,0.9567,0.8925,79.86,79.72,0.0183,83.87,0,79.44,B
STU-2026-0049,SUB-MATH,9,0.9506,0.9692,1.0,85.26,84.37,-0.0302,74.83,0,79.04,B
STU-2026-0050,SUB-MATH,9,0.9595,0.9637,0.9648,83.01,79.97,0.0019,86.61,0,81.01,A
STU-2026-0051,SUB-MATH,9,0.9719,0.9627,0.9221,74.36,80.0,0.1861,84.6,0,72.54,B
STU-2026-0052,SUB-MATH,9,0.9727,1.0,0.8761,66.11,71.41,0.0843,75.27,0,59.17,D
STU-2026-0053,SUB-MATH,9,0.9619,0.9923,0.9061,80.11,88.02,0.1167,78.92,0,77.44,B
STU-2026-0054,SUB-MATH,9,0.6619,0.6847,0.4527,47.16,52.15,-0.4227,62.73,4,44.22,F
STU-2026-0055,SUB-MATH,9,0.9822,0.9595,0.905,90.41,95.52,-0.0746,91.49,0,87.32,A
STU-2026-0056,SUB-MATH,9,0.9623,0.9388,1.0,86.99,90.37,0.0582,99.0,0,81.0,A
STU-2026-0057,SUB-MATH,9,1.0,1.0,0.9331,68.72,73.03,0.0916,83.0,0,67.4,C
STU-2026-0058,SUB-MATH,9,0.9122,0.9676,0.8811,66.76,74.48,0.0769,94.57,0,64.24,C
STU-2026-0059,SUB-MATH,9,0.9087,0.9067,0.7712,71.01,78.88,0.0967,78.96,2,67.27,C
STU-2026-0060,SUB-MATH,9,0.8773,0.9218,0.8899,75.79,73.66,0.0058,82.9,0,68.91,C
STU-2026-0061,SUB-MATH,9,0.9773,0.992,0.9596,84.14,84.61,-0.0577,95.41,0,75.34,B
STU-2026-0062,SUB-MATH,9,0.9972,0.9959,0.8759,78.49,70.75,0.0371,86.05,0,73.93,B
STU-2026-0063,SUB-MATH,9,0.9325,0.9581,0.9889,70.49,67.53,0.1935,79.53,0,68.78,C
STU-2026-0064,SUB-MATH,9,0.962,1.0,0.9405,75.92,76.94,-0.0353,75.69,0,73.84,B
STU-2026-0065,SUB-MATH,9,0.8332,0.8797,0.7523,75.12,65.5,0.0214,73.16,2,70.73,B
STU-2026-0066,SUB-MATH,9,0.8795,0.8659,0.8209,64.45,60.93,0.1128,56.97,2,60.71,C
STU-2026-0067,SUB-MATH,9,0.7056,0.7104,0.636,47.89,45.13,-0.3364,40.76,5,43.98,F
STU-2026-0068,SUB-MATH,9,0.9826,0.9391,0.9002,88.68,82.85,0.0254,72.9,0,83.64,A
STU-2026-0069,SUB-MATH,9,0.8635,0.8352,0.8466,69.19,69.19,0.1352,61.55,1,68.7,C
STU-2026-0070,SUB-MATH,9,0.9121,0.906,0.8579,80.39,80.46,-0.0099,81.17,0,79.42,B
STU-2026-0071,SUB-MATH,9,0.8063,0.7782,0.8126,69.86,70.48,0.0721,43.8,1,70.11,B
STU-2026-0072,SUB-MATH,9,0.8888,0.9075,0.9875,71.01,69.73,0.0113,90.03,0,66.11,C
STU-2026-0073,SUB-MATH,9,0.9774,0.9756,0.9145,78.48,71.08,-0.001,83.85,1,73.2,B
STU-2026-0074,SUB-MATH,9,0.9327,0.9119,0.922,78.42,82.22,0.1197,84.01,0,71.78,B
STU-2026-0075,SUB-MATH,9,0.984,0.9681,0.9721,80.71,76.63,0.001,83.0,0,75.85,B
STU-2026-0076,SUB-MATH,9,0.8454,0.8135,0.7903,76.1,66.85,-0.0595,59.57,2,70.64,B
STU-2026-0077,SUB-MATH,9,0.8947,0.8825,0.9097,76.61,81.17,0.0404,82.77,1,71.18,B
STU-2026-0078,SUB-MATH,9,0.9653,0.9563,1.0,68.12,66.18,0.0612,81.54,0,62.96,C
STU-2026-0079,SUB-MATH,9,0.8394,0.7862,0.6756,80.79,75.78,0.065,61.76,0,77.8,B
STU-2026-0080,SUB-MATH,9,0.9237,0.8897,1.0,92.79,84.68,-0.0467,83.29,1,85.2,A
STU-2026-0081,SUB-MATH,9,0.9224,0.9278,1.0,70.51,72.44,0.0503,80.37,0,70.04,B
STU-2026-0082,SUB-MATH,9,0.9571,0.9321,0.8887,64.93,55.51,-0.0122,81.64,0,57.96,D
STU-2026-0083,SUB-MATH,9,0.9661,0.9392,0.8352,73.1,78.42,0.0591,75.47,0,70.06,B
STU-2026-0084,SUB-MATH,9,0.9091,0.9241,0.9717,78.12,81.27,-0.054,83.66,0,73.51,B
STU-2026-0085,SUB-MATH,9,1.0,0.9733,0.9306,76.76,80.8,0.0498,75.49,0,73.04,B
STU-2026-0086,SUB-MATH,9,0.8897,0.8606,0.8677,59.07,61.46,-0.0055,60.03,2,56.06,D
STU-2026-0087,SUB-MATH,9,0.9126,0.9081,0.9991,89.63,83.1,0.1037,77.19,0,86.39,A
STU-2026-0088,SUB-MATH,9,0.8799,0.8944,0.8768,51.42,56.36,0.0574,57.02,1,50.24,D
STU-2026-0089,SUB-MATH,9,0.9836,0.9808,0.9264,74.32,73.26,0.0665,99.0,0,73.76,B
STU-2026-0090,SUB-MATH,9,0.9463,0.9568,0.8989,73.7,70.56,-0.0,83.43,0,72.32,B
STU-2026-0091,SUB-MATH,9,0.8915,0.9023,0.9184,77.37,74.65,0.1155,69.48,1,71.21,B
STU-2026-0092,SUB-MATH,9,0.8557,0.8526,0.7788,61.55,65.53,0.1124,47.93,0,60.52,C
STU-2026-0093,SUB-MATH,9,0.8774,0.9124,1.0,65.27,73.25,-0.0583,76.54,0,60.65,C
STU-2026-0094,SUB-MATH,9,0.9259,0.9116,0.9281,98.76,83.87,0.1992,76.87,0,90.41,A
STU-2026-0095,SUB-MATH,9,0.903,0.922,0.6597,67.55,76.53,-0.0044,58.99,0,65.66,C
STU-2026-0096,SUB-MATH,9,0.8443,0.8946,0.9035,71.87,75.12,0.0634,96.6,0,70.36,B
STU-2026-0097,SUB-MATH,9,0.8244,0.8205,0.4966,34.69,39.6,-0.2726,56.94,5,33.0,F
STU-2026-0098,SUB-MATH,9,0.9897,1.0,0.9767,87.75,99.0,0.0775,85.47,0,86.14,A
STU-2026-0099,SUB-MATH,9,0.8904,0.912,0.8776,96.07,94.86,-0.0603,80.63,0,87.64,A
STU-2026-0100,SUB-MATH,9,0.9577,0.9139,0.8198,65.11,65.06,0.1234,61.32,2,64.92,C
STU-2026-0101,SUB-MATH,9,0.8989,0.9266,0.914,82.5,71.53,-0.009,89.96,1,79.96,B
STU-2026-0102,SUB-MATH,9,0.9702,0.9376,0.8558,86.42,92.26,-0.0413,86.1,0,83.6,A
STU-2026-0103,SUB-MATH,9,0.9836,0.9974,0.9581,65.03,70.39,0.1016,99.0,1,61.71,C
STU-2026-0104,SUB-MATH,9,0.7896,0.7988,0.7218,54.08,54.0,0.121,63.39,1,56.07,D
STU-2026-0105,SUB-MATH,9,0.8789,0.8885,0.7618,55.54,55.57,0.0539,63.46,1,50.1,D
STU-2026-0106,SUB-MATH,9,0.8575,0.8608,0.7864,64.6,63.07,0.0727,71.82,2,63.11,C
STU-2026-0107,SUB-MATH,9,0.8676,0.8691,0.7,62.09,55.44,0.0384,76.33,0,63.65,C
STU-2026-0108,SUB-MATH,9,0.9355,0.9289,1.0,74.87,77.86,0.0242,97.5,1,70.07,B
STU-2026-0109,SUB-MATH,9,1.0,0.9741,0.9207,93.08,91.94,0.0677,82.2,1,91.96,A
STU-2026-0110,SUB-MATH,9,0.7978,0.8208,0.6983,51.01,54.31,-0.3875,35.19,6,49.34,F
STU-2026-0111,SUB-MATH,9,0.8255,0.8906,0.7029,64.99,65.97,0.0729,68.21,1,58.84,D
STU-2026-0112,SUB-MATH,9,0.9132,0.9248,0.6487,78.44,80.91,-0.0226,68.47,2,75.02,B
STU-2026-0113,SUB-MATH,9,0.962,0.9661,0.9086,77.34,74.47,0.0299,84.07,1,71.85,B
STU-2026-0114,SUB-MATH,9,0.9289,0.9111,0.8934,83.72,87.38,-0.0337,76.1,0,82.71,A
STU-2026-0115,SUB-MATH,9,0.9337,0.9635,0.7746,70.74,71.27,0.1,63.63,1,67.38,C
STU-2026-0116,SUB-MATH,9,0.8715,0.9253,0.8505,96.31,92.73,0.1145,93.73,0,97.5,A
STU-2026-0117,SUB-MATH,9,0.8914,0.8685,0.7983,80.49,81.0,0.0913,66.33,0,77.84,B
STU-2026-0118,SUB-MATH,9,0.942,0.9761,0.9053,93.09,86.77,0.0523,84.05,0,85.24,A
STU-2026-0119,SUB-MATH,9,0.9138,0.9262,0.9371,90.15,91.64,0.0142,83.52,0,84.98,A
STU-2026-0120,SUB-MATH,9,0.8086,0.849,0.6752,36.74,42.33,-0.337,45.61,4,31.4,F
STU-2026-0121,SUB-MATH,9,0.9584,0.951,0.9474,77.48,84.84,-0.0035,81.68,1,73.83,B
STU-2026-0122,SUB-MATH,9,0.9816,1.0,0.9788,90.27,87.94,0.0585,88.88,1,86.66,A
STU-2026-0123,SUB-MATH,9,0.9747,0.9599,0.908,69.49,70.1,0.0602,82.95,1,63.41,C
STU-2026-0124,SUB-MATH,9,0.9776,0.9774,0.968,96.09,87.93,0.0979,91.25,0,95.88,A
STU-2026-0125,SUB-MATH,9,0.9442,0.9554,0.9932,72.2,79.87,0.0873,74.34,1,72.95,B
STU-2026-0126,SUB-MATH,9,0.9466,0.9671,0.8534,85.58,76.25,0.0975,75.09,0,81.4,A
STU-2026-0127,SUB-MATH,9,0.9376,0.9194,0.9477,82.66,86.87,-0.0148,78.84,1,78.76,B
STU-2026-0128,SUB-MATH,9,0.7986,0.8766,0.4767,56.85,56.04,-0.3614,45.41,3,55.06,D
STU-2026-0129,SUB-MATH,9,0.9845,0.9935,0.9388,81.35,91.79,0.0304,78.09,1,81.96,A
STU-2026-0130,SUB-MATH,9,0.8772,0.8745,0.7611,73.45,75.34,0.0486,46.8,1,72.14,B
STU-2026-0131,SUB-MATH,9,0.9552,0.9115,0.9662,84.23,82.16,0.0562,94.88,0,76.32,B
STU-2026-0132,SUB-MATH,9,0.9445,1.0,0.9129,78.77,82.32,-0.0129,75.83,0,75.57,B
STU-2026-0133,SUB-MATH,9,0.9368,0.9145,0.8472,80.64,78.04,0.075,84.37,0,82.58,A
STU-2026-0134,SUB-MATH,9,0.9305,0.9259,0.9629,85.8,85.8,-0.0459,84.53,0,81.32,A
STU-2026-0135,SUB-MATH,9,0.9598,0.9792,1.0,84.52,89.86,-0.0054,79.16,0,77.08,B
STU-2026-0136,SUB-MATH,9,0.9263,0.9321,0.9673,89.92,79.6,0.2503,88.31,0,85.36,A
STU-2026-0137,SUB-MATH,9,0.8861,0.8601,0.7735,72.03,66.12,0.0292,59.62,0,63.93,C
STU-2026-0138,SUB-MATH,9,0.9677,0.9668,0.9235,94.56,83.13,-0.0648,78.22,0,89.54,A
STU-2026-0139,SUB-MATH,9,0.9296,0.9364,1.0,65.35,65.07,-0.0274,68.14,0,62.19,C
STU-2026-0140,SUB-MATH,9,0.9719,0.9689,0.9776,72.55,73.36,0.0493,95.65,0,70.95,B
STU-2026-0141,SUB-MATH,9,0.9277,0.9624,0.9557,78.64,76.13,-0.0048,73.95,0,72.93,B
STU-2026-0142,SUB-MATH,9,0.8008,0.8455,0.6627,71.14,68.92,-0.0767,62.15,0,67.07,C
STU-2026-0143,SUB-MATH,9,0.985,0.943,0.9238,99.0,96.47,0.0467,78.88,0,97.94,A
STU-2026-0144,SUB-MATH,9,0.9978,1.0,0.8891,79.96,83.81,0.0401,86.47,0,76.05,B
STU-2026-0145,SUB-MATH,9,0.9689,0.9697,0.8387,77.58,76.91,-0.0087,90.59,0,75.93,B
STU-2026-0146,SUB-MATH,9,0.7264,0.7008,0.5504,70.58,81.43,-0.2351,34.27,7,64.15,C
STU-2026-0147,SUB-MATH,9,0.9926,0.9903,0.8824,83.61,87.98,0.0146,82.57,1,82.53,A
STU-2026-0148,SUB-MATH,9,0.99,0.9691,0.9526,80.94,85.67,0.0422,81.48,0,80.83,A
STU-2026-0149,SUB-MATH,9,0.9386,0.9642,0.8952,80.24,73.99,0.0232,80.07,0,72.07,B
STU-2026-0150,SUB-MATH,9,0.9727,0.9778,0.907,73.12,75.85,0.0663,69.08,0,69.13,C
STU-2026-0151,SUB-MATH,9,0.9476,0.9336,0.9178,72.18,71.85,-0.0585,89.14,0,70.11,B
STU-2026-0152,SUB-MATH,9,0.9237,0.9247,0.971,76.13,69.68,-0.0249,87.21,0,75.13,B
STU-2026-0153,SUB-MATH,9,0.8337,0.7873,0.7149,66.68,64.82,0.108,63.54,0,66.26,C
STU-2026-0154,SUB-MATH,9,0.9206,0.9152,0.8729,76.1,80.65,0.0947,83.75,0,73.22,B
STU-2026-0155,SUB-MATH,9,0.9791,0.9643,0.8983,79.68,84.61,0.1699,87.06,0,76.6,B
STU-2026-0156,SUB-MATH,9,0.8411,0.851,0.6571,66.28,64.24,0.1045,64.86,0,61.07,C
STU-2026-0157,SUB-MATH,9,0.8749,0.8827,0.8598,66.99,59.55,0.1811,64.56,1,63.51,C
STU-2026-0158,SUB-MATH,9,0.9926,0.9767,0.8067,83.25,85.74,0.0248,78.07,0,80.15,A
STU-2026-0159,SUB-MATH,9,0.9608,0.9248,0.7904,91.17,80.5,0.0668,80.98,0,89.69,A
STU-2026-0160,SUB-MATH,9,0.8083,0.8049,0.7709,52.26,46.58,0.0544,68.93,0,49.13,F
STU-2026-0161,SUB-MATH,9,0.9305,0.9415,0.8571,81.39,85.22,0.0531,84.11,0,79.64,B
STU-2026-0162,SUB-MATH,9,0.9491,0.9628,1.0,70.6,64.96,0.1049,84.49,0,68.4,C
STU-2026-0163,SUB-MATH,9,0.9553,0.955,0.9742,80.39,77.68,-0.0297,83.15,0,74.96,B
STU-2026-0164,SUB-MATH,9,0.9822,1.0,0.9091,79.07,74.44,-0.0627,86.5,0,75.63,B
STU-2026-0165,SUB-MATH,9,0.7951,0.8384,0.6489,60.81,67.29,0.0139,83.68,0,60.39,C
STU-2026-0166,SUB-MATH,9,0.8864,0.8891,0.775,70.73,77.28,-0.0216,67.53,1,69.38,C
STU-2026-0167,SUB-MATH,9,0.8961,0.9143,0.9827,86.08,82.12,0.0275,91.62,0,83.26,A
STU-2026-0168,SUB-MATH,9,0.9836,0.9651,0.8781,82.35,80.31,0.1948,86.86,0,81.67,A
STU-2026-0169,SUB-MATH,9,0.9659,0.9762,0.9408,86.42,74.46,0.1208,81.34,0,83.93,A
STU-2026-0170,SUB-MATH,9,0.9824,0.9812,0.8872,69.63,76.46,0.1158,84.54,0,67.74,C
STU-2026-0171,SUB-MATH,9,0.9822,0.967,0.8636,74.75,82.99,0.0383,86.31,0,70.44,B
STU-2026-0172,SUB-MATH,9,0.9421,0.9557,0.9827,66.28,72.3,-0.1066,82.48,1,62.9,C
STU-2026-0173,SUB-MATH,9,0.9604,0.9952,0.8651,63.97,67.52,0.0556,82.89,0,60.46,C
STU-2026-0174,SUB-MATH,9,0.9846,0.9609,0.9158,66.89,76.84,0.0212,91.8,0,69.04,C
STU-2026-0175,SUB-MATH,9,0.9949,1.0,0.9115,79.02,81.91,0.1428,98.01,0,76.16,B
STU-2026-0176,SUB-MATH,9,0.9502,0.995,0.9398,74.17,81.31,-0.0253,98.3,0,72.48,B
STU-2026-0177,SUB-MATH,9,0.908,0.9326,0.9865,66.31,65.92,0.0746,93.62,0,66.73,C
STU-2026-0178,SUB-MATH,9,0.9762,0.9431,0.8859,71.0,71.63,0.0919,87.54,0,70.49,B
STU-2026-0179,SUB-MATH,9,0.979,0.9573,0.9508,75.52,82.16,0.074,71.62,1,77.65,B
STU-2026-0180,SUB-MATH,9,0.9695,0.9623,0.9234,54.83,63.6,0.0378,97.23,0,54.8,D
STU-2026-0181,SUB-MATH,9,0.9334,0.9918,0.9381,88.99,83.34,0.0411,92.11,0,81.66,A
STU-2026-0182,SUB-MATH,9,0.8904,0.9479,0.9793,68.38,69.81,-0.0237,80.66,0,66.43,C
STU-2026-0183,SUB-MATH,9,0.9328,0.9673,1.0,76.27,79.54,-0.0001,74.61,0,67.02,C
STU-2026-0184,SUB-MATH,9,0.9903,0.978,0.9329,81.9,82.57,0.0199,82.95,1,72.32,B
STU-2026-0185,SUB-MATH,9,0.8453,0.8105,0.7499,52.17,55.43,-0.02,54.31,0,46.8,F
STU-2026-0186,SUB-MATH,9,0.7544,0.7578,0.6039,53.08,53.16,-0.6507,50.6,5,42.6,F
STU-2026-0187,SUB-MATH,9,0.9858,0.9787,0.9281,81.51,83.69,0.1253,79.64,0,77.13,B
STU-2026-0188,SUB-MATH,9,0.8444,0.8672,0.8058,73.45,74.47,0.0255,45.55,2,70.95,B
STU-2026-0189,SUB-MATH,9,0.9364,0.9592,0.9115,81.71,88.54,-0.0279,91.05,0,80.41,A
STU-2026-0190,SUB-MATH,9,0.9295,0.9289,0.8842,73.84,81.4,-0.0483,77.78,0,69.95,C
STU-2026-0191,SUB-MATH,9,0.9734,0.9713,1.0,75.81,77.16,0.0685,82.78,0,70.39,B
STU-2026-0192,SUB-MATH,9,0.9828,0.9783,0.9274,88.92,81.77,0.0354,81.14,0,82.82,A
STU-2026-0193,SUB-MATH,9,0.9534,0.935,0.8693,68.92,76.33,0.0144,82.25,0,70.42,B
STU-2026-0194,SUB-MATH,9,0.9849,0.9533,0.8187,73.74,82.94,0.0008,90.74,0,71.44,B
STU-2026-0195,SUB-MATH,9,0.9317,0.9157,0.9964,97.85,94.53,0.0861,97.7,0,94.15,A
STU-2026-0196,SUB-MATH,9,0.8506,0.828,0.6521,63.16,63.8,0.0581,65.18,2,62.12,C
STU-2026-0197,SUB-MATH,9,0.9551,0.9563,0.9758,83.25,82.27,0.0432,90.84,0,84.65,A
STU-2026-0198,SUB-MATH,9,0.9919,0.967,0.9227,87.86,86.68,0.0114,75.64,0,83.92,A
STU-2026-0199,SUB-MATH,10,0.9831,0.9634,0.8328,79.94,73.92,-0.0623,82.53,0,74.42,B
STU-2026-0200,SUB-MATH,10,0.9533,0.9281,0.997,83.74,87.8,-0.0251,78.84,1,78.88,B
STU-2026-0201,SUB-MATH,10,0.9509,0.964,1.0,83.26,97.37,0.0861,89.25,0,81.54,A
STU-2026-0202,SUB-MATH,10,0.9582,0.9504,0.9249,72.87,73.94,-0.0038,86.6,0,72.48,B
STU-2026-0203,SUB-MATH,10,0.9342,0.9574,0.9283,87.43,85.71,0.0967,84.65,1,84.24,A
STU-2026-0204,SUB-MATH,10,0.943,0.959,0.9227,75.53,89.99,0.0866,81.65,1,74.82,B
STU-2026-0205,SUB-MATH,10,0.919,0.9143,0.8812,65.73,72.88,0.1306,90.79,0,64.94,C
STU-2026-0206,SUB-MATH,10,0.8561,0.9043,0.6224,52.6,67.79,0.014,65.15,1,53.42,D
STU-2026-0207,SUB-MATH,10,0.9416,0.9029,0.9151,74.9,70.23,0.073,99.0,0,71.04,B
STU-2026-0208,SUB-MATH,10,0.9492,0.9002,0.8694,86.02,77.26,0.0194,79.08,0,82.63,A
STU-2026-0209,SUB-MATH,10,0.965,0.9235,0.9397,77.98,82.5,0.0981,83.28,0,78.64,B
STU-2026-0210,SUB-MATH,10,0.6483,0.6478,0.7368,51.22,52.39,-0.5404,39.8,4,47.98,F
STU-2026-0211,SUB-MATH,10,0.9611,0.9216,0.9726,75.74,75.27,-0.0294,84.91,0,72.5,B
STU-2026-0212,SUB-MATH,10,0.9565,0.9343,0.9574,71.77,67.26,0.0656,78.77,0,68.91,C
STU-2026-0213,SUB-MATH,10,0.8316,0.8279,0.7254,69.15,73.56,0.0825,78.48,2,65.41,C
STU-2026-0214,SUB-MATH,10,0.9256,0.927,0.9313,96.16,93.16,-0.0903,88.85,1,90.17,A
STU-2026-0215,SUB-MATH,10,0.919,0.9171,0.9697,82.89,91.6,-0.0138,80.03,0,74.9,B
STU-2026-0216,SUB-MATH,10,0.9845,0.996,0.9106,81.62,83.64,0.0688,93.41,0,75.35,B
STU-2026-0217,SUB-MATH,10,0.9775,1.0,0.8969,86.4,77.64,-0.0507,66.7,0,76.66,B
STU-2026-0218,SUB-MATH,10,0.9565,0.9774,0.835,88.47,92.61,0.0182,88.45,0,87.67,A
STU-2026-0219,SUB-MATH,10,1.0,0.982,0.9032,68.92,70.49,0.1004,81.63,1,67.54,C
STU-2026-0220,SUB-MATH,10,0.9612,0.9682,0.8894,86.72,86.29,0.1207,75.79,0,84.23,A
STU-2026-0221,SUB-MATH,10,0.7772,0.7168,0.5508,35.38,31.84,-0.4824,44.7,6,25.28,F
STU-2026-0222,SUB-MATH,10,0.9996,0.9877,0.9503,72.43,71.55,0.0875,81.84,0,68.45,C
STU-2026-0223,SUB-MATH,10,0.8098,0.8107,0.8577,67.09,73.07,0.102,51.73,0,68.24,C
STU-2026-0224,SUB-MATH,10,0.9276,0.9123,0.7428,68.28,70.93,0.0548,80.95,2,64.33,C
STU-2026-0225,SUB-MATH,10,0.9654,0.9593,0.9451,93.64,99.0,-0.0254,75.02,0,90.34,A
STU-2026-0226,SUB-MATH,10,0.9739,0.9783,0.972,88.85,87.64,0.2342,93.82,0,86.02,A
STU-2026-0227,SUB-MATH,10,0.9938,1.0,0.8993,89.83,78.55,0.1285,94.09,0,82.95,A
STU-2026-0228,SUB-MATH,10,0.922,0.9913,0.9293,85.82,79.86,0.0561,81.26,1,82.81,A
STU-2026-0229,SUB-MATH,10,0.9523,0.9031,1.0,89.46,83.29,0.0596,86.54,1,81.01,A
STU-2026-0230,SUB-MATH,10,0.7001,0.7181,0.4917,39.44,45.03,-0.4608,25.63,4,38.77,F
STU-2026-0231,SUB-MATH,10,0.8771,0.878,0.8423,67.66,54.39,-0.0645,63.28,1,63.74,C
STU-2026-0232,SUB-MATH,10,0.9614,1.0,0.9544,87.07,90.02,0.0783,71.61,0,81.5,A
STU-2026-0233,SUB-MATH,10,0.9449,0.9839,0.8776,82.05,78.61,0.097,79.54,0,78.17,B
STU-2026-0234,SUB-MATH,10,0.7842,0.835,0.7732,68.98,71.41,0.0613,84.09,1,62.85,C
