studentId,performance_trend,attendance_anomaly_score,mood_avg_7d,mood_avg_30d,mood_low_count_14d,wellbeing_signal_count,homework_completion_drop,engagement_drop,behavior_concerns_30d,safety_reports_submitted,riskScore,riskCategory,isAtRisk
STU-2026-0047,0.0809,0.3445,3.28,3.61,1,1,0.0,0.0,0,0,0.02,low,0
STU-2026-0048,-0.0033,0.2641,4.49,4.58,0,0,0.0,0.0,1,0,0.0616,low,0
STU-2026-0049,0.0327,0.3131,3.95,3.93,1,0,0.0,0.0,0,0,0.0303,low,0
STU-2026-0050,-0.0243,0.1867,4.12,4.24,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0051,0.0458,0.2862,4.54,4.34,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0052,0.0749,0.1706,4.77,4.38,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0053,0.0373,0.496,4.54,4.13,1,1,0.0,0.0,0,0,0.02,low,0
STU-2026-0054,-0.4896,-1.6982,1.51,2.18,9,1,0.2647,0.1981,4,0,0.7712,high,1
STU-2026-0055,0.0645,0.1661,4.23,4.36,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0056,-0.067,0.1087,4.37,3.9,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0057,0.0236,0.0588,4.05,4.17,0,1,0.0,0.0,1,0,0.02,low,0
STU-2026-0058,0.0496,0.7839,4.69,4.16,1,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0059,-0.0977,-0.0933,3.27,3.39,1,0,0.0428,0.0833,1,0,0.4566,medium,0
STU-2026-0060,-0.0062,0.1461,3.74,3.09,2,0,0.0,0.0,0,0,0.0941,low,0
STU-2026-0061,-0.1123,0.3227,4.0,4.05,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0062,0.0682,0.4588,4.35,3.94,0,0,0.0,0.0,0,0,0.0282,low,0
STU-2026-0063,-0.0168,0.2266,3.59,4.05,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0064,0.0349,0.412,4.7,4.76,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0065,-0.1725,-0.7013,2.37,2.56,3,1,0.0945,0.0879,0,0,0.4696,medium,0
STU-2026-0066,-0.0661,-0.4125,2.64,2.55,2,1,0.1322,0.1131,2,0,0.4665,medium,0
STU-2026-0067,-0.5052,-1.2631,2.45,1.49,10,2,0.153,0.1201,2,2,0.7907,high,1
STU-2026-0068,0.041,0.4135,4.2,4.08,0,0,0.0,0.0,1,0,0.02,low,0
STU-2026-0069,-0.1247,-1.0306,3.68,3.44,4,0,0.0645,0.0925,1,1,0.5181,medium,0
STU-2026-0070,0.0367,-0.5803,3.8,3.67,1,0,0.0,0.0,0,0,0.0595,low,0
STU-2026-0071,-0.0878,-0.9143,3.69,3.85,4,2,0.1012,0.099,0,0,0.5058,medium,0
STU-2026-0072,0.0589,0.0901,5.0,5.0,3,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0073,0.07,0.4406,4.77,4.77,1,0,0.0,0.0,0,0,0.0293,low,0
STU-2026-0074,-0.0427,-0.1717,4.5,3.86,1,1,0.0,0.0,0,0,0.02,low,0
STU-2026-0075,0.0182,0.6794,3.52,3.53,2,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0076,-0.1264,-0.7469,3.19,4.03,2,1,0.0887,0.1126,1,0,0.536,medium,0
STU-2026-0077,-0.0098,0.4258,4.32,4.24,1,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0078,0.0872,0.2717,3.9,3.47,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0079,-0.251,-0.5344,3.73,3.67,1,1,0.0694,0.1018,0,0,0.4223,medium,0
STU-2026-0080,0.0056,0.1025,3.9,4.0,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0081,-0.0054,0.3583,4.69,5.0,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0082,-0.0453,0.1388,4.37,4.57,0,0,0.0,0.0,1,0,0.062,low,0
STU-2026-0083,0.0523,-0.2043,3.71,3.76,1,0,0.0,0.0,0,0,0.05,low,0
STU-2026-0084,0.1383,0.2599,4.66,4.57,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0085,-0.0112,0.2554,4.66,4.53,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0086,-0.0817,-0.6865,3.14,2.94,6,0,0.0823,0.0945,0,1,0.4793,medium,0
STU-2026-0087,0.0172,0.3902,4.07,3.94,0,1,0.0,0.0,0,0,0.0219,low,0
STU-2026-0088,-0.1149,-0.6178,2.31,2.39,1,0,0.091,0.0959,1,0,0.4332,medium,0
STU-2026-0089,0.0463,0.1116,4.04,4.06,2,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0090,-0.0014,0.5198,4.35,4.59,0,1,0.0,0.0,0,0,0.02,low,0
STU-2026-0091,0.0774,0.2295,4.47,4.2,1,1,0.0,0.0,0,0,0.0343,low,0
STU-2026-0092,-0.1878,-0.8241,2.43,2.68,5,1,0.1198,0.1076,2,0,0.5476,medium,0
STU-2026-0093,0.0433,0.1754,3.59,4.32,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0094,0.0918,-0.0997,4.84,4.81,1,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0095,-0.1726,-0.9132,3.37,2.67,4,4,0.1224,0.0808,1,0,0.4819,medium,0
STU-2026-0096,0.0356,-0.0173,3.44,3.6,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0097,-0.3317,-1.8156,2.12,2.33,2,4,0.2451,0.193,3,0,0.8068,high,1
STU-2026-0098,0.0435,0.2302,4.28,4.28,0,1,0.0,0.0,0,0,0.02,low,0
STU-2026-0099,0.0398,-0.0908,3.88,4.16,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0100,-0.175,-0.3518,3.57,3.31,3,2,0.0797,0.1208,2,0,0.4127,medium,0
STU-2026-0101,0.0314,0.3321,4.53,4.65,0,0,0.0,0.0,0,0,0.0351,low,0
STU-2026-0102,-0.0546,-0.1487,4.41,4.51,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0103,0.0094,0.0702,4.84,4.3,0,0,0.0,0.0,1,0,0.02,low,0
STU-2026-0104,-0.215,-0.7086,2.24,2.91,4,0,0.0899,0.0795,1,1,0.4787,medium,0
STU-2026-0105,-0.0715,-0.6078,4.03,4.36,2,1,0.0656,0.1176,0,1,0.4656,medium,0
STU-2026-0106,-0.1579,-0.6513,2.94,2.66,1,2,0.0966,0.1246,1,0,0.4913,medium,0
STU-2026-0107,-0.1458,-1.0942,3.21,2.98,4,0,0.1081,0.1223,0,0,0.5297,medium,0
STU-2026-0108,0.0113,0.3217,4.29,4.3,0,1,0.0,0.0,0,0,0.02,low,0
STU-2026-0109,0.0883,0.244,4.17,4.39,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0110,-0.4527,-1.0419,1.92,1.94,14,3,0.083,0.1002,1,0,0.7645,high,1
STU-2026-0111,-0.1358,-0.906,2.61,2.68,2,1,0.0877,0.0874,0,0,0.54,medium,0
STU-2026-0112,-0.1314,-0.402,2.64,2.99,2,0,0.1797,0.1212,0,0,0.492,medium,0
STU-2026-0113,0.0096,-0.1569,4.06,4.18,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0114,0.0016,-0.4337,4.6,4.54,0,0,0.0,0.0,0,1,0.02,low,0
STU-2026-0115,-0.1646,-0.3473,2.83,3.09,6,1,0.1008,0.069,0,0,0.519,medium,0
STU-2026-0116,0.0053,0.1784,4.07,4.49,1,0,0.0,0.0,0,0,0.0622,low,0
STU-2026-0117,-0.2003,-0.7746,3.1,2.68,1,2,0.0641,0.1383,0,0,0.4622,medium,0
STU-2026-0118,-0.0281,-0.0159,4.79,4.89,0,0,0.0,0.0,0,0,0.0398,low,0
STU-2026-0119,0.0226,0.218,3.89,3.54,0,0,0.0,0.0,1,0,0.0412,low,0
STU-2026-0120,-0.492,-1.5092,2.25,2.3,5,2,0.1856,0.2048,2,0,0.772,high,1
STU-2026-0121,-0.0391,-0.2057,4.04,4.06,1,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0122,-0.0432,0.2559,4.77,4.36,1,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0123,-0.0389,0.6008,3.9,3.87,1,0,0.0,0.0,0,0,0.043,low,0
STU-2026-0124,0.0072,0.4316,4.7,5.0,1,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0125,-0.0443,0.2238,3.97,4.19,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0126,0.0317,0.1115,4.6,4.61,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0127,-0.0061,0.2094,4.58,3.92,0,1,0.0,0.0,0,0,0.02,low,0
STU-2026-0128,-0.5792,-0.7069,1.97,1.92,4,3,0.1157,0.175,1,1,0.7295,high,1
STU-2026-0129,-0.0203,0.0309,4.04,4.3,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0130,-0.096,-0.5793,3.57,3.7,5,2,0.0487,0.0905,0,0,0.4551,medium,0
STU-2026-0131,0.0051,0.449,4.24,4.08,1,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0132,0.0404,0.4035,4.63,4.94,2,0,0.0,0.0,0,0,0.0625,low,0
STU-2026-0133,-0.0003,0.4125,4.2,4.29,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0134,-0.0834,0.0439,4.82,5.0,0,0,0.0,0.0,0,0,0.0284,low,0
STU-2026-0135,0.117,0.1583,4.14,4.0,0,0,0.0,0.0,0,0,0.0544,low,0
STU-2026-0136,-0.0137,0.1467,4.05,4.27,0,0,0.0,0.0,1,0,0.02,low,0
STU-2026-0137,-0.1791,-0.9106,3.21,3.08,3,1,0.1034,0.1174,0,1,0.5077,medium,0
STU-2026-0138,0.0216,0.4514,4.46,4.35,1,0,0.0,0.0,0,0,0.0301,low,0
STU-2026-0139,0.0107,0.2157,3.85,3.93,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0140,0.0608,0.1075,3.51,4.11,0,0,0.0,0.0,1,0,0.02,low,0
STU-2026-0141,-0.0336,-0.4661,3.76,3.41,1,0,0.0,0.0,0,0,0.0308,low,0
STU-2026-0142,-0.0871,-1.0956,3.58,3.52,2,2,0.0454,0.1222,1,0,0.5381,medium,0
STU-2026-0143,-0.0294,0.3241,3.83,4.1,1,0,0.0,0.0,1,0,0.02,low,0
STU-2026-0144,0.0137,-0.1265,4.25,4.29,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0145,0.0476,0.0875,3.92,4.3,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0146,-0.3805,-1.71,1.8,1.95,7,1,0.1471,0.2051,4,1,0.7613,high,1
STU-2026-0147,-0.0311,0.6935,3.69,3.95,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0148,-0.029,0.1708,4.17,4.04,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0149,-0.0614,0.2665,5.0,4.53,1,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0150,0.0521,0.8594,4.29,3.99,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0151,-0.0103,0.1098,3.62,4.02,0,1,0.0,0.0,0,0,0.0205,low,0
STU-2026-0152,-0.0106,0.5328,3.98,3.94,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0153,-0.1767,-0.1871,3.56,2.95,3,2,0.0724,0.1092,0,0,0.4126,medium,0
STU-2026-0154,0.0058,0.0595,4.49,4.34,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0155,0.0583,0.1725,3.82,4.2,0,0,0.0,0.0,0,0,0.0233,low,0
STU-2026-0156,-0.114,-1.1264,3.01,3.5,2,0,0.0907,0.1324,0,1,0.546,medium,0
STU-2026-0157,-0.1508,-0.5059,3.79,3.52,2,0,0.0743,0.0553,0,0,0.4928,medium,0
STU-2026-0158,0.0366,0.1908,4.01,4.17,1,0,0.0,0.0,0,0,0.0719,low,0
STU-2026-0159,0.0431,-0.2378,3.81,3.89,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0160,-0.0496,-0.4979,3.09,3.48,4,0,0.088,0.1019,0,1,0.4663,medium,0
STU-2026-0161,-0.0093,0.0267,4.75,4.41,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0162,-0.0004,0.406,4.45,4.44,0,1,0.0,0.0,1,0,0.02,low,0
STU-2026-0163,-0.0164,0.3307,4.25,4.79,0,1,0.0,0.0,0,0,0.02,low,0
STU-2026-0164,0.0558,0.4893,4.2,4.14,0,0,0.0,0.0,1,0,0.02,low,0
STU-2026-0165,-0.1626,-0.669,3.2,3.18,2,0,0.0593,0.078,1,1,0.4802,medium,0
STU-2026-0166,-0.15,-0.9146,3.45,2.93,2,1,0.1294,0.114,1,1,0.4582,medium,0
STU-2026-0167,-0.012,0.3353,4.86,4.75,2,0,0.0,0.0,0,0,0.0285,low,0
STU-2026-0168,0.0792,0.1402,3.72,4.08,0,0,0.0,0.0,1,0,0.0463,low,0
STU-2026-0169,0.0764,0.2005,4.27,3.92,0,1,0.0,0.0,0,0,0.02,low,0
STU-2026-0170,-0.0418,0.1912,4.62,4.41,1,0,0.0,0.0,0,0,0.0476,low,0
STU-2026-0171,-0.0757,0.5174,3.95,4.1,0,1,0.0,0.0,0,0,0.02,low,0
STU-2026-0172,0.0431,-0.0705,3.67,3.69,2,1,0.0,0.0,0,0,0.02,low,0
STU-2026-0173,-0.0321,0.4124,4.54,4.28,0,0,0.0,0.0,0,0,0.0585,low,0
STU-2026-0174,0.0202,0.1613,4.86,4.79,1,1,0.0,0.0,0,0,0.02,low,0
STU-2026-0175,0.0491,0.2223,4.43,4.21,0,0,0.0,0.0,1,0,0.0667,low,0
STU-2026-0176,0.0125,0.6354,4.03,3.34,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0177,0.0575,0.3239,3.75,3.32,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0178,-0.0278,0.4271,4.14,4.7,1,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0179,0.0105,0.6073,4.66,4.8,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0180,0.0098,0.0036,3.94,4.31,0,2,0.0,0.0,0,0,0.02,low,0
STU-2026-0181,-0.0651,-0.0357,3.98,3.45,0,0,0.0,0.0,0,0,0.0381,low,0
STU-2026-0182,0.0992,0.0139,3.31,3.98,0,1,0.0,0.0,0,0,0.02,low,0
STU-2026-0183,0.0675,0.7816,3.61,3.85,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0184,0.0457,0.3169,4.05,4.16,3,0,0.0,0.0,0,0,0.0363,low,0
STU-2026-0185,-0.199,-0.8242,2.95,3.28,1,2,0.1268,0.1129,1,0,0.5356,medium,0
STU-2026-0186,-0.5723,-1.1181,3.02,2.99,10,1,0.1203,0.2024,3,0,0.8129,high,1
STU-2026-0187,0.0137,0.0051,4.68,4.66,1,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0188,-0.1967,-0.9812,3.13,3.12,5,0,0.1155,0.1227,1,0,0.5268,medium,0
STU-2026-0189,-0.0473,0.4012,4.2,4.42,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0190,-0.0003,-0.1196,3.92,3.59,0,1,0.0,0.0,0,0,0.02,low,0
STU-2026-0191,-0.0271,0.0609,4.22,4.07,1,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0192,0.0737,0.2332,3.84,3.91,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0193,0.0061,0.1585,4.02,4.03,1,2,0.0,0.0,1,0,0.02,low,0
STU-2026-0194,0.0927,0.2099,4.15,4.28,1,0,0.0,0.0,1,0,0.0524,low,0
STU-2026-0195,-0.0978,-0.023,4.97,5.0,0,0,0.0,0.0,0,0,0.0347,low,0
STU-2026-0196,-0.1481,-0.505,4.08,3.8,2,0,0.0483,0.1267,1,0,0.4746,medium,0
STU-2026-0197,0.0501,-0.004,3.84,4.38,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0198,0.0757,0.1479,3.86,3.77,0,0,0.0,0.0,0,0,0.0365,low,0
STU-2026-0199,-0.0256,-0.0139,4.15,3.81,1,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0200,-0.0177,0.4109,5.0,4.86,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0201,-0.0096,0.5668,4.18,4.14,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0202,-0.048,0.2598,4.37,4.45,1,0,0.0,0.0,0,0,0.0282,low,0
STU-2026-0203,0.0342,0.0798,4.1,4.14,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0204,0.0413,0.1552,4.47,4.05,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0205,0.0782,0.2972,4.41,4.14,0,0,0.0,0.0,0,1,0.02,low,0
STU-2026-0206,-0.1099,-0.6054,3.22,3.57,2,1,0.1353,0.1369,1,0,0.5347,medium,0
STU-2026-0207,0.1128,0.1298,4.16,3.74,1,1,0.0,0.0,0,0,0.02,low,0
STU-2026-0208,-0.0633,0.2011,4.68,4.65,1,0,0.0,0.0,0,0,0.0402,low,0
STU-2026-0209,0.0373,0.6773,3.8,4.05,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0210,-0.504,-1.493,2.8,2.72,5,4,0.2844,0.2973,2,1,0.8268,high,1
STU-2026-0211,0.044,-0.2932,5.0,4.97,2,0,0.0,0.0,0,0,0.0494,low,0
STU-2026-0212,0.0061,0.2085,4.26,4.18,0,0,0.0,0.0,1,1,0.02,low,0
STU-2026-0213,-0.0605,-0.4731,2.94,3.16,2,1,0.1196,0.1107,1,0,0.4283,medium,0
STU-2026-0214,0.0797,0.604,3.95,4.15,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0215,0.047,-0.0116,3.74,3.63,0,1,0.0,0.0,0,0,0.02,low,0
STU-2026-0216,-0.0225,0.5507,4.11,4.74,0,0,0.0,0.0,1,0,0.02,low,0
STU-2026-0217,0.0362,0.27,3.94,4.26,0,1,0.0,0.0,0,0,0.0227,low,0
STU-2026-0218,0.0347,0.3175,4.03,4.19,0,1,0.0,0.0,0,0,0.0424,low,0
STU-2026-0219,-0.012,0.2032,4.16,4.21,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0220,0.0271,0.0152,4.56,4.33,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0221,-0.7085,-0.9464,2.02,2.33,10,3,0.1321,0.1583,2,0,0.7681,high,1
STU-2026-0222,0.0616,0.3617,4.06,4.14,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0223,-0.134,-0.9604,3.18,3.04,3,0,0.1342,0.0923,0,0,0.5455,medium,0
STU-2026-0224,-0.1725,-0.8061,3.42,3.03,4,2,0.0743,0.0822,1,0,0.4529,medium,0
STU-2026-0225,-0.0315,0.021,5.0,4.74,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0226,0.0805,0.3789,4.8,4.58,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0227,-0.0017,-0.067,4.31,4.2,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0228,0.0295,0.2657,4.1,4.28,1,0,0.0,0.0,0,0,0.0438,low,0
STU-2026-0229,0.055,-0.0364,4.79,4.88,2,0,0.0,0.0,0,0,0.0481,low,0
STU-2026-0230,-0.489,-1.3253,2.38,1.6,2,3,0.1602,0.2018,1,0,0.7263,high,1
STU-2026-0231,-0.2183,-0.8803,2.69,2.8,1,0,0.0538,0.1119,0,0,0.4326,medium,0
STU-2026-0232,-0.0096,0.3161,3.77,3.7,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0233,0.1208,0.5061,4.32,4.64,0,0,0.0,0.0,0,1,0.02,low,0
STU-2026-0234,-0.0447,-0.507,2.97,2.79,2,0,0.0787,0.1215,0,0,0.4318,medium,0
STU-2026-0235,0.0563,0.1581,4.54,4.56,1,0,0.0,0.0,0,1,0.0224,low,0
STU-2026-0236,-0.0213,0.4901,4.09,3.83,2,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0237,-0.0094,0.1768,4.2,4.54,1,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0238,-0.1424,-0.7052,2.72,3.18,1,2,0.1293,0.1151,1,0,0.4445,medium,0
STU-2026-0239,0.0664,0.0209,4.39,4.37,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0240,-0.0082,-0.1298,3.56,3.05,0,0,0.0,0.0,0,0,0.0313,low,0
STU-2026-0241,-0.0384,-0.3111,4.12,3.97,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0242,0.0813,0.2882,3.67,3.86,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0243,-0.1292,-0.439,3.03,2.86,2,0,0.1037,0.0596,0,0,0.4562,medium,0
STU-2026-0244,0.0559,0.0517,3.81,4.16,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0245,-0.6292,-1.1884,2.22,1.88,7,4,0.2184,0.1924,1,1,0.841,high,1
STU-2026-0246,-0.6671,-1.8933,1.71,1.95,5,1,0.2028,0.1926,3,1,0.7586,high,1
STU-2026-0247,-0.0206,-0.2043,3.79,3.97,0,0,0.0,0.0,0,0,0.0258,low,0
STU-2026-0248,-0.1604,-0.4539,2.6,2.51,4,1,0.0994,0.0702,0,0,0.4484,medium,0
STU-2026-0249,-0.4317,-1.2769,2.75,2.32,8,1,0.1814,0.1775,2,2,0.768,high,1
STU-2026-0250,0.0215,0.4561,3.92,4.0,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0251,-0.4944,-0.9253,2.76,2.0,10,4,0.1598,0.1587,1,1,0.8126,high,1
STU-2026-0252,0.0417,0.2569,4.0,4.53,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0253,-0.5962,-1.5348,2.09,2.4,6,4,0.2182,0.2031,2,0,0.8379,high,1
STU-2026-0254,-0.0225,-0.0438,3.65,3.76,0,0,0.0,0.0,0,0,0.0568,low,0
STU-2026-0255,0.0395,0.209,4.75,4.39,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0256,-0.0589,0.2778,4.25,3.99,1,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0257,-0.0198,0.0598,3.85,3.84,0,0,0.0,0.0,0,0,0.0326,low,0
STU-2026-0258,-0.1606,-0.6576,2.72,2.62,3,2,0.0698,0.1149,0,0,0.4976,medium,0
STU-2026-0259,0.1007,0.4202,4.38,4.72,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0260,0.0367,-0.179,4.75,4.33,0,0,0.0,0.0,0,0,0.02,low,0
