incidentId,incidentType,latitude,longitude,incidentDate,severity,locationDescription,schoolId
INC-0085,physical_altercation,28.537094,77.392342,2026-03-19,high,Behind Sports Complex,SCH-001
INC-0086,bullying,28.53398,77.38974,2025-11-20,medium,East Stairwell - Block B,SCH-001
INC-0087,theft,28.535991,77.390419,2025-12-25,low,Unmonitored Cafeteria Corner,SCH-001
INC-0088,bullying,28.533898,77.392406,2026-02-26,high,Back Gate / Bus Parking Bay,SCH-001
INC-0089,physical_altercation,28.5369,77.392177,2026-02-09,high,Behind Sports Complex,SCH-001
INC-0090,bullying,28.534145,77.389475,2026-02-19,medium,East Stairwell - Block B,SCH-001
INC-0091,theft,28.535952,77.390416,2025-10-30,low,Unmonitored Cafeteria Corner,SCH-001
INC-0092,bullying,28.533734,77.392322,2025-09-15,high,Back Gate / Bus Parking Bay,SCH-001
INC-0093,physical_altercation,28.537088,77.39203,2026-02-04,high,Behind Sports Complex,SCH-001
INC-0094,bullying,28.53398,77.38971,2025-11-06,medium,East Stairwell - Block B,SCH-001
INC-0095,theft,28.535909,77.390091,2025-11-19,low,Unmonitored Cafeteria Corner,SCH-001
INC-0096,bullying,28.533742,77.392436,2026-03-20,high,Back Gate / Bus Parking Bay,SCH-001
INC-0097,physical_altercation,28.537085,77.392122,2026-03-25,high,Behind Sports Complex,SCH-001
INC-0098,bullying,28.533999,77.389868,2026-04-03,medium,East Stairwell - Block B,SCH-001
INC-0099,theft,28.536231,77.390025,2025-11-25,low,Unmonitored Cafeteria Corner,SCH-001
INC-0100,bullying,28.533939,77.392491,2025-08-19,high,Back Gate / Bus Parking Bay,SCH-001
INC-0101,physical_altercation,28.536739,77.392012,2026-01-05,high,Behind Sports Complex,SCH-001
INC-0102,bullying,28.534596,77.389592,2025-09-09,medium,East Stairwell - Block B,SCH-001
INC-0103,theft,28.536364,77.390061,2025-08-21,low,Unmonitored Cafeteria Corner,SCH-001
INC-0104,bullying,28.533637,77.392219,2026-01-19,high,Back Gate / Bus Parking Bay,SCH-001
INC-0105,physical_altercation,28.53718,77.392293,2025-10-17,high,Behind Sports Complex,SCH-001
INC-0106,bullying,28.533997,77.389952,2026-02-12,medium,East Stairwell - Block B,SCH-001
INC-0107,theft,28.536164,77.390014,2025-09-05,low,Unmonitored Cafeteria Corner,SCH-001
INC-0108,bullying,28.533946,77.392308,2025-09-17,high,Back Gate / Bus Parking Bay,SCH-001
INC-0109,physical_altercation,28.5364,77.391992,2025-09-19,high,Behind Sports Complex,SCH-001
INC-0110,bullying,28.533833,77.389705,2026-04-21,medium,East Stairwell - Block B,SCH-001
INC-0111,theft,28.536038,77.389816,2026-01-08,low,Unmonitored Cafeteria Corner,SCH-001
INC-0112,bullying,28.533678,77.392739,2025-10-31,high,Back Gate / Bus Parking Bay,SCH-001
INC-0113,physical_altercation,28.536667,77.391991,2026-01-06,high,Behind Sports Complex,SCH-001
INC-0114,bullying,28.534232,77.39001,2026-01-21,medium,East Stairwell - Block B,SCH-001
INC-0115,theft,28.536092,77.390016,2026-01-22,low,Unmonitored Cafeteria Corner,SCH-001
INC-0116,bullying,28.533839,77.392781,2025-10-30,high,Back Gate / Bus Parking Bay,SCH-001
INC-0117,physical_altercation,28.537041,77.391855,2026-04-06,high,Behind Sports Complex,SCH-001
INC-0118,bullying,28.533929,77.389872,2026-02-25,medium,East Stairwell - Block B,SCH-001
INC-0119,theft,28.536241,77.390098,2025-09-03,low,Unmonitored Cafeteria Corner,SCH-001
INC-0120,bullying,28.533674,77.392553,2025-10-21,high,Back Gate / Bus Parking Bay,SCH-001
INC-0121,physical_altercation,28.536766,77.392332,2025-08-19,high,Behind Sports Complex,SCH-001
INC-0122,bullying,28.534291,77.389675,2025-09-26,medium,East Stairwell - Block B,SCH-001
INC-0123,theft,28.536224,77.389935,2025-12-05,low,Unmonitored Cafeteria Corner,SCH-001
INC-0124,bullying,28.533989,77.392205,2025-11-19,high,Back Gate / Bus Parking Bay,SCH-001
INC-0125,physical_altercation,28.536883,77.391948,2026-04-16,high,Behind Sports Complex,SCH-001
INC-0126,bullying,28.534256,77.389995,2026-03-31,medium,East Stairwell - Block B,SCH-001
INC-0127,theft,28.535954,77.390195,2026-03-23,low,Unmonitored Cafeteria Corner,SCH-001
INC-0128,bullying,28.533794,77.392523,2025-09-23,high,Back Gate / Bus Parking Bay,SCH-001
INC-0129,physical_altercation,28.53693,77.392397,2026-02-12,high,Behind Sports Complex,SCH-001
INC-0130,bullying,28.534196,77.390177,2025-11-20,medium,East Stairwell - Block B,SCH-001
INC-0131,theft,28.536057,77.390025,2025-11-27,low,Unmonitored Cafeteria Corner,SCH-001
INC-0132,bullying,28.533834,77.392173,2026-04-15,high,Back Gate / Bus Parking Bay,SCH-001
INC-0133,physical_altercation,28.536424,77.392492,2026-03-11,high,Behind Sports Complex,SCH-001
INC-0134,bullying,28.534334,77.389602,2025-08-19,medium,East Stairwell - Block B,SCH-001
INC-0135,theft,28.5364,77.390014,2025-09-15,low,Unmonitored Cafeteria Corner,SCH-001
INC-0136,bullying,28.533835,77.392366,2026-02-05,high,Back Gate / Bus Parking Bay,SCH-001
INC-0137,theft,28.535144,77.390945,2026-03-05,low,Open Campus Grounds,SCH-001
INC-0138,vandalism,28.535221,77.391633,2025-11-10,low,Open Campus Grounds,SCH-001
INC-0139,theft,28.534112,77.389621,2025-09-23,low,Open Campus Grounds,SCH-001
INC-0140,theft,28.536679,77.390671,2026-03-02,low,Open Campus Grounds,SCH-001
INC-0141,theft,28.537249,77.390675,2025-11-20,low,Open Campus Grounds,SCH-001
INC-0142,theft,28.534718,77.390192,2025-09-17,low,Open Campus Grounds,SCH-001
INC-0143,theft,28.535675,77.389677,2026-01-05,low,Open Campus Grounds,SCH-001
INC-0144,theft,28.536605,77.391738,2025-11-24,low,Open Campus Grounds,SCH-001
INC-0145,other,28.535616,77.389115,2026-03-26,low,Open Campus Grounds,SCH-001
INC-0146,theft,28.53506,77.389269,2026-01-08,low,Open Campus Grounds,SCH-001
INC-0147,other,28.535595,77.392798,2025-09-12,low,Open Campus Grounds,SCH-001
INC-0148,theft,28.536006,77.390403,2025-08-21,low,Open Campus Grounds,SCH-001
INC-0149,theft,28.536952,77.392184,2025-09-08,low,Open Campus Grounds,SCH-001
INC-0150,vandalism,28.535408,77.389198,2026-01-26,low,Open Campus Grounds,SCH-001
INC-0151,other,28.53744,77.392312,2025-08-18,low,Open Campus Grounds,SCH-001
INC-0152,other,28.534968,77.392088,2025-11-05,low,Open Campus Grounds,SCH-001
INC-0153,vandalism,28.534184,77.392302,2025-10-08,low,Open Campus Grounds,SCH-001
INC-0154,vandalism,28.535561,77.391289,2026-02-13,low,Open Campus Grounds,SCH-001
INC-0155,theft,28.534195,77.389226,2025-08-28,low,Open Campus Grounds,SCH-001
INC-0156,other,28.536814,77.3907,2025-11-26,low,Open Campus Grounds,SCH-001
INC-0157,vandalism,28.534073,77.391942,2025-12-17,low,Open Campus Grounds,SCH-001
INC-0158,vandalism,28.537111,77.392646,2025-09-16,low,Open Campus Grounds,SCH-001
INC-0159,theft,28.536426,77.392984,2025-11-18,low,Open Campus Grounds,SCH-001
INC-0160,theft,28.537342,77.390389,2025-12-22,low,Open Campus Grounds,SCH-001
